Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
17,Bill Antonio,zw ZIM,MF,Mechelen,22,2002,33,7,1177,13.1,1,1,2,1,0,0,2,0,0.08,0.08,0.15,0.08,0.15
18,Tiago Araújo,pt POR,"DF,MF",Gent,24,2001,34,31,2688,29.9,1,4,5,1,0,0,8,0,0.03,0.13,0.17,0.03,0.17
19,Tolu Arokodare,ng NGA,FW,Genk,24,2000,4,0,84,0.9,1,0,1,1,0,0,0,0,1.07,0.00,1.07,1.07,1.07
20,Raymond Asante,gh GHA,FW,Charleroi,21,2004,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
21,Dirk Asare,be BEL,MF,Zulte Waregem,21,2004,11,9,818,9.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
22,Majeed Ashimeru,gh GHA,MF,La Louvière,27,1997,9,6,410,4.6,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
23,Steeven Assengue,be BEL,DF,Standard Liège,20,2005,6,0,117,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
24,Lynnt Audoor,be BEL,MF,Club Brugge,21,2003,7,3,197,2.2,0,1,1,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46
25,Ludwig Augustinsson,se SWE,DF,Anderlecht,31,1994,27,24,2073,23.0,0,3,3,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13
26,Rachid Ayindé,bf BFA,DF,Gent,20,2005,2,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
27,Isaac Babadi,nl NED,MF,Antwerp,20,2005,17,3,479,5.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
